筋,5
策,5
簡,5
糖,5
系,5
紅,5
納,5
純,5
絹,5
縦,5
縮,5
署,5
翌,5
聖,5
肺,5
胃,5
背,5
胸,5
脳,5
腸,5
腹,5
臓,5
臨,5
至,5
舌,5
若,5
著,5
蒸,5
蔵,5
蚕,5
衆,5
裁,5
装,5
裏,5
補,5
視,5
覧,5
討,5
訪,5
訳,5
詞,5
誌,5
認,5
誕,5
誠,5
誤,5
論,5
諸,5
警,5
貴,5
賃,5
退,5
遺,5
郵,5
郷,5
針,5
銭,5
鋼,5
閉,5
閣,5
降,5
陛,5
除,5
障,5
難,5
革,5
頂,5
預,5
骨,5
丈,4
与,4
丘,4
丹,4
乾,4
互,4
介,4
仰,4
伺,4
依,4
侵,4
俗,4
倒,4
偉,4
傍,4
傾,4
僧,4
儀,4
兼,4
冒,4
凡,4
凶,4
刈,4
到,4
刺,4
剣,4
剤,4
劣,4
勧,4
匹,4
占,4
即,4
却,4
及,4
叫,4
召,4
吐,4
含,4
吹,4
咲,4
唐,4
嘆,4
噴,4
圏,4
坊,4
執,4
堅,4
堤,4
塔,4
壁,4
壊,4
壱,4
奇,4
奥,4
奴,4
妙,4
姓,4
威,4
娘,4
婚,4
寂,4
寝,4
尋,4
尽,4
尾,4
屈,4
峠,4
峰,4
巡,4
巨,4
帽,4
幅,4
幾,4
床,4
弐,4
弾,4
彩,4
影,4
彼,4
征,4
御,4
微,4
徴,4
忙,4
怒,4
怖,4
恋,4
恐,4
恒,4
恥,4
恵,4
悩,4
惑,4
惨,4
慎,4
慢,4
慮,4
憶,4
戒,4
戯,4
扇,4
払,4
扱,4
抗,4
抜,4
抱,4
抵,4
押,4
拍,4
拓,4
拠,4
振,4
捕,4
掘,4
描,4
握,4
援,4
搬,4
摘,4
撃,4
攻,4
敏,4
敷,4
斜,4
旨,4
旬,4
是,4
普,4
暇,4
暦,4
曇,4
更,4
替,4
朱,4
朽,4
杯,4
枯,4
柄,4
柔,4
桃,4
欄,4
歓,4
歳,4
殖,4
殿,4
汗,4
汚,4
沈,4
沢,4
沼,4
況,4
泊,4
浜,4
浮,4
浸,4
涙,4
淡,4
添,4
渡,4
溶,4
滴,4
漫,4
澄,4
濁,4
濃,4
為,4
烈,4
煙,4
煮,4
燥,4
爆,4
狂,4
狩,4
狭,4
猛,4
獣,4
獲,4
玄,4
珍,4
環,4
甘,4
畳,4
疲,4
療,4
皆,4
盆,4
盗,4
監,4
盤,4
盾,4
眠,4
瞬,4
矛,4
砲,4
祈,4
秀,4
称,4
稲,4
稿,4
突,4
端,4
箇,4
範,4
粒,4
紋,4
紫,4
紹,4
絡,4
継,4
維,4
網,4
緯,4
縁,4
繁,4
繰,4
罰,4
翼,4
耐,4
肩,4
肪,4
胴,4
脂,4
脚,4
脱,4
腐,4
腕,4
腰,4
膚,4
