壮,ソウ,1,0
声,セイ、[ショウ]、こえ、[こわ],2,2
壱,イチ,1,0
売,バイ、う-る、う-れる,1,2
変,ヘン、か-わる、か-える,1,2
夏,カ、[ゲ]、なつ,2,1
夕,セキ、ゆう,1,1
外,ガイ、ゲ、そと、ほか、はず-す、はず-れる,2,4
多,タ、おお-い,1,1
夜,ヤ、よ、よる,1,2
夢,ム、ゆめ,1,1
大,ダイ、タイ、おお、おお-きい、おお-いに,2,3
天,テン、あめ、[あま],1,2
太,タイ、タ、ふと-い、ふと-る,2,2
夫,フ、[フウ]、おっと,2,1
央,オウ,1,0
失,シツ、うしな-う,1,1
奇,キ,1,0
奈,ナ,1,0
奉,ホウ、[ブ]、たてまつ-る,2,1
奏,ソウ、かな-でる,1,1
契,ケイ、ちぎ-る,1,1
奔,ホン,1,0
奥,オウ、おく,1,1
奨,ショウ,1,0
奪,ダツ、うば-う,1,1
奮,フン、ふる-う,1,1
女,ジョ、ニョ、[ニョウ]、おんな、め,3,2
奴,ド,1,0
好,コウ、この-む、す-く,1,2
如,ジョ、ニョ,2,0
妃,ヒ,1,0
妄,モウ、ボウ,2,0
妊,ニン,1,0
妖,ヨウ、あや-しい,1,1
妙,ミョウ,1,0
妥,ダ,1,0
妨,ボウ、さまた-げる,1,1
妬,ト、ねた-む,1,1
妹,マイ、いもうと,1,1
妻,サイ、つま,1,1
姉,シ、あね,1,1
始,シ、はじ-める、はじ-まる,1,2
姓,セイ、ショウ,2,0
委,イ、ゆだ-ねる,1,1
姫,ひめ,0,1
姻,イン,1,0
姿,シ、すがた,1,1
威,イ,1,0
娘,むすめ,0,1
娠,シン,1,0
娯,ゴ,1,0
婆,バ,1,0
婚,コン,1,0
婦,フ,1,0
婿,セイ、むこ,1,1
媒,バイ,1,0
媛,エン,1,0
嫁,カ、よめ、とつ-ぐ,1,2
嫉,シツ,1,0
嫌,ケン、[ゲン]、きら-う、いや,2,2
嫡,チャク,1,0
嬢,ジョウ,1,0
子,シ、ス、こ,2,1
孔,コウ,1,0
字,ジ、あざ,1,1
存,ソン、ゾン,2,0
孝,コウ,1,0
季,キ,1,0
孤,コ,1,0
学,ガク、まな-ぶ,1,1
孫,ソン、まご,1,1
宅,タク,1,0
宇,ウ,1,0
守,シュ、[ス]、まも-る、も-り,2,2
安,アン、やす-い,1,1
完,カン,1,0
宗,シュウ、ソウ,2,0
官,カン,1,0
宙,チュウ,1,0
定,テイ、ジョウ、さだ-める、さだ-まる、さだ-か,2,3
宛,あ-てる,0,1
宜,ギ,1,0
宝,ホウ、たから,1,1
実,ジツ、み、みの-る,1,2
客,キャク、カク,2,0
宣,セン,1,0
室,シツ、むろ,1,1
宮,キュウ、グウ、[ク]、みや,3,1
宰,サイ,1,0
害,ガイ,1,0
宴,エン,1,0
宵,ショウ、よい,1,1
家,カ、ケ、いえ、や,2,2
容,ヨウ,1,0
宿,シュク、やど、やど-る、やど-す,1,3
寂,ジャク、[セキ]、さび、さび-しい、さび-れる,2,3
寄,キ、よ-る、よ-せる,1,2
密,ミツ,1,0
富,フ、[フウ]、と-む、とみ,2,2
寒,カン、さむ-い,1,1
寛,カン,1,0
寝,シン、ね-る、ね-かす,1,2
察,サツ,1,0
寡,カ,1,0
寧,ネイ,1,0
審,シン,1,0
寮,リョウ,1,0
寸,スン,1,0
寺,ジ、てら,1,1
対,タイ、ツイ,2,0
寿,ジュ、ことぶき,1,1
封,フウ、ホウ,2,0
専,セン、もっぱ-ら,1,1
射,シャ、い-る,1,1
将,ショウ,1,0
尉,イ,1,0
尊,ソン、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ,1,4
尋,ジン、たず-ねる,1,1
導,ドウ、みちび-く,1,1
小,ショウ、ちい-さい、こ、お,1,3
少,ショウ、すく-ない、すこ-し,1,2
尚,ショウ,1,0
就,シュウ、[ジュ]、つ-く、つ-ける,2,2
尺,シャク,1,0
尻,しり,0,1
尼,ニ、あま,1,1
尽,ジン、つ-くす、つ-きる、つ-かす,1,3
尾,ビ、お,1,1
尿,ニョウ,1,0
局,キョク,1,0
居,キョ、い-る,1,1
屈,クツ,1,0
届,とど-ける、とど-く,0,2
屋,オク、や,1,1
展,テン,1,0
属,ゾク,1,0
層,ソウ,1,0
履,リ、は-く,1,1
屯,トン,1,0
山,サン、やま,1,1
岐,キ,1,0
岡,[おか],0,1
岩,ガン、いわ,1,1
岬,みさき,0,1
岳,ガク、たけ,1,1
岸,ガン、きし,1,1
峠,とうげ,0,1
峡,キョウ,1,0
峰,ホウ、みね,1,1
島,トウ、しま,1,1
崇,スウ,1,0
崎,さき,0,1
崖,ガイ、がけ,1,1
