,﻿一,イチ、イツ、ひと、ひと-つ,2,2
2,妬,ト、ねた-む,1,1
9,妹,マイ、いもうと,1,1
6,妻,サイ、つま,1,1
9,姉,シ、あね,1,1
8,始,シ、はじ-める、はじ-まる,1,2
4,姓,セイ、ショウ,2,0
8,委,イ、ゆだ-ねる,1,1
3,姫,ひめ,0,1
2.5,姻,イン,1,0
5,姿,シ、すがた,1,1
4,威,イ,1,0
4,娘,むすめ,0,1
2.5,娠,シン,1,0
3,娯,ゴ,1,0
3,婆,バ,1,0
4,婚,コン,1,0
6,婦,フ,1,0
3,婿,セイ、むこ,1,1
2.5,媒,バイ,1,0
7,媛,エン,1,0
3,嫁,カ、よめ、とつ-ぐ,1,2
2,嫉,シツ,1,0
2.5,嫌,ケン、[ゲン]、きら-う、いや,2,2
2.5,嫡,チャク,1,0
3,嬢,ジョウ,1,0
10,子,シ、ス、こ,2,1
3,孔,コウ,1,0
10,字,ジ、あざ,1,1
5,存,ソン、ゾン,2,0
5,孝,コウ,1,0
7,季,キ,1,0
3,孤,コ,1,0
10,学,ガク、まな-ぶ,1,1
7,孫,ソン、まご,1,1
5,宅,タク,1,0
5,宇,ウ,1,0
8,守,シュ、[ス]、まも-る、も-り,2,2
8,安,アン、やす-い,1,1
7,完,カン,1,0
5,宗,シュウ、ソウ,2,0
7,官,カン,1,0
5,宙,チュウ,1,0
8,定,テイ、ジョウ、さだ-める、さだ-まる、さだ-か,2,3
2,宛,あ-てる,0,1
2.5,宜,ギ,1,0
5,宝,ホウ、たから,1,1
8,実,ジツ、み、みの-る,1,2
8,客,キャク、カク,2,0
5,宣,セン,1,0
9,室,シツ、むろ,1,1
8,宮,キュウ、グウ、[ク]、みや,3,1
2.5,宰,サイ,1,0
7,害,ガイ,1,0
3,宴,エン,1,0
2.5,宵,ショウ、よい,1,1
9,家,カ、ケ、いえ、や,2,2
6,容,ヨウ,1,0
8,宿,シュク、やど、やど-る、やど-す,1,3
4,寂,ジャク、[セキ]、さび、さび-しい、さび-れる,2,3
6,寄,キ、よ-る、よ-せる,1,2
5,密,ミツ,1,0
7,富,フ、[フウ]、と-む、とみ,2,2
8,寒,カン、さむ-い,1,1
2.5,寛,カン,1,0
4,寝,シン、ね-る、ね-かす,1,2
7,察,サツ,1,0
2.5,寡,カ,1,0
2.5,寧,ネイ,1,0
3,審,シン,1,0
2.5,寮,リョウ,1,0
5,寸,スン,1,0
9,寺,ジ、てら,1,1
8,対,タイ、ツイ,2,0
3,寿,ジュ、ことぶき,1,1
3,封,フウ、ホウ,2,0
5,専,セン、もっぱ-ら,1,1
5,射,シャ、い-る,1,1
5,将,ショウ,1,0
2.5,尉,イ,1,0
5,尊,ソン、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ,1,4
4,尋,ジン、たず-ねる,1,1
6,導,ドウ、みちび-く,1,1
10,小,ショウ、ちい-さい、こ、お,1,3
9,少,ショウ、すく-ない、すこ-し,1,2
2.5,尚,ショウ,1,0
5,就,シュウ、[ジュ]、つ-く、つ-ける,2,2
5,尺,シャク,1,0
2,尻,しり,0,1
2.5,尼,ニ、あま,1,1
4,尽,ジン、つ-くす、つ-きる、つ-かす,1,3
4,尾,ビ、お,1,1
3,尿,ニョウ,1,0
8,局,キョク,1,0
6,居,キョ、い-る,1,1
4,屈,クツ,1,0
5,届,とど-ける、とど-く,0,2
8,屋,オク、や,1,1
5,展,テン,1,0
6,属,ゾク,1,0
5,層,ソウ,1,0
2.5,履,リ、は-く,1,1
2.5,屯,トン,1,0
10,山,サン、やま,1,1
7,岐,キ,1,0
7,岡,[おか],0,1
9,岩,ガン、いわ,1,1
2.5,岬,みさき,0,1
3,岳,ガク、たけ,1,1
8,岸,ガン、きし,1,1
4,峠,とうげ,0,1
3,峡,キョウ,1,0
4,峰,ホウ、みね,1,1
8,島,トウ、しま,1,1
2.5,崇,スウ,1,0
7,崎,さき,0,1
2,崖,ガイ、がけ,1,1
3,崩,ホウ、くず-れる、くず-す,1,2
2,嵐,あらし,0,1
10,川,セン、かわ,1,1
8,州,シュウ、す,1,1
4,巡,ジュン、めぐ-る,1,1
7,巣,ソウ、す,1,1
9,工,コウ、ク,2,0
10,左,サ、ひだり,1,1
3,巧,コウ、たく-み,1,1
4,巨,キョ,1,0
7,差,サ、さ-す,1,1
5,己,コ、キ、おのれ,2,1
5,巻,カン、ま-く、まき,1,2
2,巾,キン,1,0
9,市,シ、いち,1,1
6,布,フ、ぬの,1,1
3,帆,ハン、ほ,1,1
7,希,キ,1,0
3,帝,テイ,1,0
2.5,帥,スイ,1,0
6,師,シ,1,0
7,席,セキ,1,0
7,帯,タイ、お-びる、おび,1,2
9,帰,キ、かえ-る、かえ-す,1,2
8,帳,チョウ,1,0
6,常,ジョウ、つね、とこ,1,2
4,帽,ボウ,1,0
4,幅,フク、はば,1,1
5,幕,マク、バク,2,0
2.5,幣,ヘイ,1,0
5,干,カン、ほ-す、ひ-る,1,2
8,平,ヘイ、ビョウ、たい-ら、ひら,2,2
10,年,ネン、とし,1,1
8,幸,コウ、さいわ-い、さち、しあわ-せ,1,3
6,幹,カン、みき,1,1
3,幻,ゲン、まぼろし,1,1
5,幼,ヨウ、おさな-い,1,1
3,幽,ユウ,1,0
4,幾,キ、いく,1,1
5,庁,チョウ,1,0
9,広,コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる,1,5
4,床,ショウ、とこ、ゆか,1,2
6,序,ジョ,1,0
7,底,テイ、そこ,1,1
9,店,テン、みせ,1,1
7,府,フ,1,0
8,度,ド、[ト]、[タク]、たび,3,1
5,座,ザ、すわ-る,1,1
8,庫,コ、[ク],2,0
8,庭,テイ、にわ,1,1
2.5,庶,ショ,1,0
7,康,コウ,1,0
2.5,庸,ヨウ,1,0
2.5,廃,ハイ、すた-れる、すた-る,1,2
3,廉,レン,1,0
3,廊,ロウ,1,0
5,延,エン、の-びる、の-べる、の-ばす,1,3
2.5,廷,テイ,1,0
7,建,ケン、[コン]、た-てる、た-つ,2,2
6,弁,ベン,1,0
2,弄,ロウ、もてあそ-ぶ,1,1
2.5,弊,ヘイ,1,0
8,式,シキ,1,0
4,弐,ニ,1,0
9,弓,キュウ、ゆみ,1,1
2.5,弔,チョウ、とむら-う,1,1
9,引,イン、ひ-く、ひ-ける,1,2
9,弟,テイ、[ダイ]、[デ]、おとうと,3,1
2,弥,や,0,1
2.5,弦,ゲン、つる,1,1
3,弧,コ,1,0
