,﻿一,イチ、イツ、ひと、ひと-つ,2,2
3,締,テイ、し-まる、し-める,1,2
6,編,ヘン、あ-む,1,1
3,緩,カン、ゆる-い、ゆる-やか、ゆる-む、ゆる-める,1,4
4,緯,イ,1,0
8,練,レン、ね-る,1,1
2,緻,チ,1,0
4,縁,エン、ふち,1,1
7,縄,ジョウ、なわ,1,1
3,縛,バク、しば-る,1,1
5,縦,ジュウ、たて,1,1
3,縫,ホウ、ぬ-う,1,1
5,縮,シュク、ちぢ-む、ちぢ-まる、ちぢ-める、ちぢ-れる、ちぢ-らす,1,5
6,績,セキ,1,0
4,繁,ハン,1,0
2.5,繊,セン,1,0
6,織,ショク、シキ、お-る,2,1
3,繕,ゼン、つくろ-う,1,1
2.5,繭,ケン、まゆ,1,1
4,繰,く-る,0,1
2.5,缶,カン,1,0
6,罪,ザイ、つみ,1,1
7,置,チ、お-く,1,1
4,罰,バツ、バチ,2,0
5,署,ショ,1,0
2,罵,バ、ののし-る,1,1
2.5,罷,ヒ,1,0
2.5,羅,ラ,1,0
8,羊,ヨウ、ひつじ,1,1
8,美,ビ、うつく-しい,1,1
2,羞,シュウ,1,0
7,群,グン、む-れる、む-れ、[むら],1,3
2,羨,セン、うらや-む、うらや-ましい,1,2
6,義,ギ,1,0
9,羽,ウ、は、はね,1,2
2.5,翁,オウ,1,0
5,翌,ヨク,1,0
8,習,シュウ、なら-う,1,1
3,翻,ホン、ひるがえ-る、ひるがえ-す,1,2
4,翼,ヨク、つばさ,1,1
7,老,ロウ、お-いる、ふ-ける,1,2
9,考,コウ、かんが-える,1,1
8,者,シャ、もの,1,1
4,耐,タイ、た-える,1,1
6,耕,コウ、たがや-す,1,1
2.5,耗,モウ、[コウ],2,0
10,耳,ジ、みみ,1,1
5,聖,セイ,1,0
9,聞,ブン、モン、き-く、き-こえる,2,2
3,聴,チョウ、き-く,1,1
6,職,ショク,1,0
9,肉,ニク,1,0
2.5,肌,はだ,0,1
2.5,肖,ショウ,1,0
2,肘,ひじ,0,1
3,肝,カン、きも,1,1
2,股,コ、また,1,1
2.5,肢,シ,1,0
6,肥,ヒ、こ-える、こえ、こ-やす、こ-やし,1,4
4,肩,ケン、かた,1,1
4,肪,ボウ,1,0
2.5,肯,コウ,1,0
8,育,イク、そだ-つ、そだ-てる、はぐく-む,1,3
5,肺,ハイ,1,0
5,胃,イ,1,0
3,胆,タン,1,0
5,背,ハイ、せ、せい、そむ-く、そむ-ける,1,4
3,胎,タイ,1,0
3,胞,ホウ,1,0
4,胴,ドウ,1,0
5,胸,キョウ、むね、[むな],1,2
6,能,ノウ,1,0
4,脂,シ、あぶら,1,1
3,脅,キョウ、おびや-かす、おど-す、おど-かす,1,3
2,脇,わき,0,1
6,脈,ミャク,1,0
2,脊,セキ,1,0
4,脚,キャク、[キャ]、あし,2,1
4,脱,ダツ、ぬ-ぐ、ぬ-げる,1,2
5,脳,ノウ,1,0
2,腎,ジン,1,0
4,腐,フ、くさ-る、くさ-れる、くさ-らす,1,3
4,腕,ワン、うで,1,1
2,腫,シュ、は-れる、は-らす,1,2
4,腰,ヨウ、こし,1,1
5,腸,チョウ,1,0
5,腹,フク、はら,1,1
2,腺,セン,1,0
4,膚,フ,1,0
3,膜,マク,1,0
2,膝,ひざ,0,1
3,膨,ボウ、ふく-らむ、ふく-れる,1,2
2,膳,ゼン,1,0
2,臆,オク,1,0
5,臓,ゾウ,1,0
7,臣,シン、ジン,2,0
5,臨,リン、のぞ-む,1,1
9,自,ジ、シ、みずか-ら,2,1
2.5,臭,シュウ、くさ-い、にお-う,1,2
5,至,シ、いた-る,1,1
4,致,チ、いた-す,1,1
2,臼,キュウ、うす,1,1
6,興,コウ、キョウ、おこ-る、おこ-す,2,2
5,舌,ゼツ、した,1,1
6,舎,シャ,1,0
4,舗,ホ,1,0
4,舞,ブ、ま-う、まい,1,2
4,舟,シュウ、ふね、[ふな],1,2
6,航,コウ,1,0
4,般,ハン,1,0
2.5,舶,ハク,1,0
2,舷,ゲン,1,0
9,船,セン、ふね、[ふな],1,2
2.5,艇,テイ,1,0
2.5,艦,カン,1,0
7,良,リョウ、よ-い,1,1
9,色,ショク、シキ、いろ,2,1
2,艶,エン、つや,1,1
4,芋,いも,0,1
4,芝,しば,0,1
2,芯,シン,1,0
10,花,カ、はな,1,1
3,芳,ホウ、かんば-しい,1,1
7,芸,ゲイ,1,0
7,芽,ガ、め,1,1
3,苗,ビョウ、なえ、[なわ],1,2
2,苛,カ,1,0
5,若,ジャク、[ニャク]、わか-い、も-しくは,2,2
8,苦,ク、くる-しい、くる-しむ、くる-しめる、にが-い、にが-る,1,5
7,英,エイ,1,0
4,茂,モ、しげ-る,1,1
2.5,茎,ケイ、くき,1,1
7,茨,[いばら],0,1
9,茶,チャ、サ,2,0
10,草,ソウ、くさ,1,1
4,荒,コウ、あら-い、あ-れる、あ-らす,1,3
2.5,荘,ソウ,1,0
8,荷,カ、に,1,1
3,菊,キク,1,0
2.5,菌,キン,1,0
4,菓,カ,1,0
7,菜,サイ、な,1,1
3,華,カ、[ケ]、はな,2,1
2,萎,イ、な-える,1,1
8,落,ラク、お-ちる、お-とす,1,2
8,葉,ヨウ、は,1,1
5,著,チョ、あらわ-す、いちじる-しい,1,2
2,葛,カツ、くず,1,1
3,葬,ソウ、ほうむ-る,1,1
5,蒸,ジョウ、む-す、む-れる、む-らす,1,3
4,蓄,チク、たくわ-える,1,1
2,蓋,ガイ、ふた,1,1
2,蔑,ベツ、さげす-む,1,1
5,蔵,ゾウ、くら,1,1
2,蔽,ヘイ,1,0
4,薄,ハク、うす-い、うす-める、うす-まる、うす-らぐ、うす-れる,1,5
2.5,薦,セン、すす-める,1,1
4,薪,シン、たきぎ,1,1
2.5,薫,クン、かお-る,1,1
8,薬,ヤク、くすり,1,1
2,藍,ラン、あい,1,1
2,藤,トウ、ふじ,1,1
3,藩,ハン,1,0
2.5,藻,ソウ、も,1,1
2,虎,コ、とら,1,1
3,虐,ギャク、しいた-げる,1,1
3,虚,キョ、[コ],2,0
2.5,虜,リョ,1,0
2.5,虞,おそれ,0,1
10,虫,チュウ、むし,1,1
2,虹,にじ,0,1
2.5,蚊,か,0,1
5,蚕,サン、かいこ,1,1
2.5,蛇,ジャ、ダ、へび,2,1
2.5,蛍,ケイ、ほたる,1,1
3,蛮,バン,1,0
2,蜂,ホウ、はち,1,1
2,蜜,ミツ,1,0
2.5,融,ユウ,1,0
8,血,ケツ、ち,1,1
5,衆,シュウ、[シュ],2,0
9,行,コウ、ギョウ、[アン]、い-く、ゆ-く、おこな-う,3,3
6,術,ジュツ,1,0
7,街,ガイ、[カイ]、まち,2,1
6,衛,エイ,1,0
3,衝,ショウ,1,0
2.5,衡,コウ,1,0
7,衣,イ、ころも,1,1
8,表,ヒョウ、おもて、あらわ-す、あらわ-れる,1,3
3,衰,スイ、おとろ-える,1,1
2.5,衷,チュウ,1,0
3,袋,タイ、ふくろ,1,1
2,袖,シュウ、そで,1,1
4,被,ヒ、こうむ-る,1,1
5,裁,サイ、た-つ、さば-く,1,2
3,裂,レツ、さ-く、さ-ける,1,2
5,装,ソウ、ショウ、よそお-う,2,1
5,裏,リ、うら,1,1
2.5,裕,ユウ,1,0
5,補,ホ、おぎな-う,1,1
3,裸,ラ、はだか,1,1
6,製,セイ,1,0
2,裾,すそ,0,1
6,複,フク,1,0
2.5,褐,カツ,1,0
2.5,褒,ホウ、ほ-める,1,1
2.5,襟,キン、えり,1,1
4,襲,シュウ、おそ-う,1,1
9,西,セイ、サイ、にし,2,1
7,要,ヨウ、かなめ、い-る,1,2
3,覆,フク、おお-う、くつがえ-す、くつがえ-る,1,3
2.5,覇,ハ,1,0
10,見,ケン、み-る、み-える、み-せる,1,3
6,規,キ,1,0
5,視,シ,1,0
7,覚,カク、おぼ-える、さ-ます、さ-める,1,3
5,覧,ラン,1,0
9,親,シン、おや、した-しい、した-しむ,1,3
7,観,カン,1,0
9,角,カク、かど、つの,1,2
6,解,カイ、ゲ、と-く、と-かす、と-ける,2,3
4,触,ショク、ふ-れる、さわ-る,1,2
9,言,ゲン、ゴン、い-う、こと,2,2
3,訂,テイ,1,0
2,訃,フ,1,0
9,計,ケイ、はか-る、はか-らう,1,2
5,討,トウ、う-つ,1,1
7,訓,クン,1,0
3,託,タク,1,0
9,記,キ、しる-す,1,1
2.5,訟,ショウ,1,0
5,訪,ホウ、おとず-れる、たず-ねる,1,2
6,設,セツ、もう-ける,1,1
6,許,キョ、ゆる-す,1,1
5,訳,ヤク、わけ,1,1
4,訴,ソ、うった-える,1,1
2.5,診,シン、み-る,1,1
6,証,ショウ,1,0
2.5,詐,サ,1,0
2.5,詔,ショウ、みことのり,1,1
6,評,ヒョウ,1,0
5,詞,シ,1,0
3,詠,エイ、よ-む,1,1
2,詣,ケイ、もう-でる,1,1
7,試,シ、こころ-みる、ため-す,1,2
8,詩,シ,1,0
2,詮,セン,1,0
4,詰,キツ、つ-める、つ-まる、つ-む,1,3
9,話,ワ、はな-す、はなし,1,2
3,該,ガイ,1,0
4,詳,ショウ、くわ-しい,1,1
4,誇,コ、ほこ-る,1,1
4,誉,ヨ、ほま-れ,1,1
5,誌,シ,1,0
5,認,ニン、みと-める,1,1
2.5,誓,セイ、ちか-う,1,1
5,誕,タン,1,0
3,誘,ユウ、さそ-う,1,1
9,語,ゴ、かた-る、かた-らう,1,2
5,誠,セイ、まこと,1,1
5,誤,ゴ、あやま-る,1,1
7,説,セツ、[ゼイ]、と-く,2,1
9,読,ドク、トク、[トウ]、よ-む,3,1
2,誰,だれ,0,1
7,課,カ,1,0
8,調,チョウ、しら-べる、ととの-う、ととの-える,1,3
8,談,ダン,1,0
3,請,セイ、[シン]、こ-う、う-ける,2,2
5,論,ロン,1,0
2,諦,テイ、あきら-める,1,1
2,諧,カイ,1,0
2.5,諭,ユ、さと-す,1,1
3,諮,シ、はか-る,1,1
5,諸,ショ,1,0
3,諾,ダク,1,0
3,謀,ボウ、[ム]、はか-る,2,1
2.5,謁,エツ,1,0
2.5,謄,トウ,1,0
2,謎,なぞ,0,1
2.5,謙,ケン,1,0
6,講,コウ,1,0
6,謝,シャ、あやま-る,1,1
4,謡,ヨウ、うたい、うた-う,1,2
2.5,謹,キン、つつし-む,1,1
6,識,シキ,1,0
2.5,譜,フ,1,0
5,警,ケイ,1,0
7,議,ギ,1,0
3,譲,ジョウ、ゆず-る,1,1
6,護,ゴ,1,0
9,谷,コク、たに,1,1
8,豆,トウ、[ズ]、まめ,2,1
6,豊,ホウ、ゆた-か,1,1
3,豚,トン、ぶた,1,1
6,象,ショウ、ゾウ,2,0
4,豪,ゴウ,1,0
2,貌,ボウ,1,0
10,貝,かい,0,1
2.5,貞,テイ,1,0
8,負,フ、ま-ける、ま-かす、お-う,1,3
6,財,ザイ、[サイ],2,0
2.5,貢,コウ、[ク]、みつ-ぐ,2,1
6,貧,ヒン、ビン、まず-しい,2,1
7,貨,カ,1,0
4,販,ハン,1,0
2,貪,ドン、むさぼ-る,1,1
3,貫,カン、つらぬ-く,1,1
6,責,セキ、せ-める,1,1
6,貯,チョ,1,0
5,貴,キ、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ,1,4
9,買,バイ、か-う,1,1
6,貸,タイ、か-す,1,1
6,費,ヒ、つい-やす、つい-える,1,2
2,貼,チョウ、は-る,1,1
6,貿,ボウ,1,0
7,賀,ガ,1,0
2,賂,ロ,1,0
5,賃,チン,1,0
2.5,賄,ワイ、まかな-う,1,1
6,資,シ,1,0
3,賊,ゾク,1,0
2.5,賓,ヒン,1,0
6,賛,サン,1,0
2.5,賜,シ、たまわ-る,1,1
6,賞,ショウ,1,0
2.5,賠,バイ,1,0
3,賢,ケン、かしこ-い,1,1
4,賦,フ,1,0
6,質,シツ、シチ、[チ],3,0
2,賭,ト、か-ける,1,1
2.5,購,コウ,1,0
4,贈,ゾウ、[ソウ]、おく-る,2,1
10,赤,セキ、[シャク]、あか、あか-い、あか-らむ、あか-らめる,2,4
3,赦,シャ,1,0
9,走,ソウ、はし-る,1,1
3,赴,フ、おもむ-く,1,1
8,起,キ、お-きる、お-こる、お-こす,1,3
3,超,チョウ、こ-える、こ-す,1,2
4,越,エツ、こ-す、こ-える,1,2
4,趣,シュ、おもむき,1,1
10,足,ソク、あし、た-りる、た-る、た-す,1,4
4,距,キョ,1,0
4,跡,セキ、あと,1,1
8,路,ロ、じ,1,1
4,跳,チョウ、は-ねる、と-ぶ,1,2
2.5,践,セン,1,0
4,踊,ヨウ、おど-る、おど-り,1,2
4,踏,トウ、ふ-む、ふ-まえる,1,2
2,踪,ソウ,1,0
2,蹴,シュウ、け-る,1,1
4,躍,ヤク、おど-る,1,1
8,身,シン、み,1,1
10,車,シャ、くるま,1,1
3,軌,キ,1,0
7,軍,グン,1,0
4,軒,ケン、のき,1,1
2.5,軟,ナン、やわ-らか、やわ-らかい,1,2
8,転,テン、ころ-がる、ころ-げる、ころ-がす、ころ-ぶ,1,4
3,軸,ジク,1,0
8,軽,ケイ、かる-い、かろ-やか,1,2
4,較,カク,1,0
4,載,サイ、の-せる、の-る,1,2
4,輝,キ、かがや-く,1,1
4,輩,ハイ,1,0
7,輪,リン、わ,1,1
6,輸,ユ,1,0
2.5,轄,カツ,1,0
3,辛,シン、から-い,1,1
7,辞,ジ、や-める,1,1
2,辣,ラツ,1,0
3,辱,ジョク、はずかし-める,1,1
8,農,ノウ,1,0
7,辺,ヘン、あた-り、べ,1,2
4,込,こ-む、こ-める,0,2
2.5,迅,ジン,1,0
4,迎,ゲイ、むか-える,1,1
9,近,キン、ちか-い,1,1
8,返,ヘン、かえ-す、かえ-る,1,2
4,迫,ハク、せま-る,1,1
2.5,迭,テツ,1,0
6,述,ジュツ、の-べる,1,1
6,迷,メイ、まよ-う,1,1
8,追,ツイ、お-う,1,1
5,退,タイ、しりぞ-く、しりぞ-ける,1,2
8,送,ソウ、おく-る,1,1
4,逃,トウ、に-げる、に-がす、のが-す、のが-れる,1,4
6,逆,ギャク、さか、さか-らう,1,2
4,透,トウ、す-く、す-かす、す-ける,1,3
2.5,逐,チク,1,0
2.5,逓,テイ,1,0
4,途,ト,1,0
9,通,ツウ、[ツ]、とお-る、とお-す、かよ-う,2,3
2.5,逝,セイ、ゆ-く、い-く,1,2
8,速,ソク、はや-い、はや-める、はや-まる、すみ-やか,1,4
6,造,ゾウ、つく-る,1,1
7,連,レン、つら-なる、つら-ねる、つ-れる,1,3
3,逮,タイ,1,0
9,週,シュウ,1,0
8,進,シン、すす-む、すす-める,1,2
2.5,逸,イツ,1,0
3,遂,スイ、と-げる,1,1
4,遅,チ、おく-れる、おく-らす、おそ-い,1,3
3,遇,グウ,1,0
8,遊,ユウ、[ユ]、あそ-ぶ,2,1
8,運,ウン、はこ-ぶ,1,1
2.5,遍,ヘン,1,0
6,過,カ、す-ぎる、す-ごす、あやま-つ、あやま-ち,1,4
9,道,ドウ、[トウ]、みち,2,1
7,達,タツ,1,0
4,違,イ、ちが-う、ちが-える,1,2
2,遜,ソン,1,0
9,遠,エン、[オン]、とお-い,2,1
2,遡,ソ、さかのぼ-る,1,1
4,遣,ケン、つか-う、つか-わす,1,2
6,適,テキ,1,0
3,遭,ソウ、あ-う,1,1
2.5,遮,シャ、さえぎ-る,1,1
3,遵,ジュン,1,0
2.5,遷,セン,1,0
7,選,セン、えら-ぶ,1,1
5,遺,イ、[ユイ],2,0
4,避,ヒ、さ-ける,1,1
2.5,還,カン,1,0
2,那,ナ,1,0
3,邦,ホウ,1,0
3,邪,ジャ,1,0
2.5,邸,テイ,1,0
3,郊,コウ,1,0
4,郎,ロウ,1,0
7,郡,グン,1,0
8,部,ブ,1,0
3,郭,カク,1,0
5,郵,ユウ,1,0
5,郷,キョウ、ゴウ,2,0
8,都,ト、ツ、みやこ,2,1
2.5,酌,シャク、く-む,1,1
8,配,ハイ、くば-る,1,1
2,酎,チュウ,1,0
8,酒,シュ、さけ、[さか],1,2
3,酔,スイ、よ-う,1,1
2.5,酢,サク、す,1,1
2.5,酪,ラク,1,0
2.5,酬,シュウ,1,0
3,酵,コウ,1,0
2.5,酷,コク,1,0
6,酸,サン、す-い,1,1
2,醒,セイ,1,0
2.5,醜,シュウ、みにく-い,1,1
2.5,醸,ジョウ、かも-す,1,1
2,采,サイ,1,0
4,釈,シャク,1,0
9,里,リ、さと,1,1
8,重,ジュウ、チョウ、え、おも-い、かさ-ねる、かさ-なる,2,4
9,野,ヤ、の,1,1
7,量,リョウ、はか-る,1,1
10,金,キン、コン、かね、[かな],2,2
2,釜,かま,0,1
5,針,シン、はり,1,1
2.5,釣,チョウ、つ-る,1,1
4,鈍,ドン、にぶ-い、にぶ-る,1,2
2.5,鈴,レイ、リン、すず,2,1
8,鉄,テツ,1,0
4,鉛,エン、なまり,1,1
2.5,鉢,ハチ、[ハツ],2,0
6,鉱,コウ,1,0
8,銀,ギン,1,0
2.5,銃,ジュウ,1,0
6,銅,ドウ,1,0
2.5,銘,メイ,1,0
5,銭,セン、ぜに,1,1
4,鋭,エイ、するど-い,1,1
3,鋳,チュウ、い-る,1,1
5,鋼,コウ、はがね,1,1
3,錠,ジョウ,1,0
2,錦,キン、にしき,1,1
3,錬,レン,1,0
2,錮,コ,1,0
3,錯,サク,1,0
7,録,ロク,1,0
2,鍋,なべ,0,1
3,鍛,タン、きた-える,1,1
2,鍵,ケン、かぎ,1,1
2,鎌,かま,0,1
4,鎖,サ、くさり,1,1
3,鎮,チン、しず-める、しず-まる,1,2
7,鏡,キョウ、かがみ,1,1
3,鐘,ショウ、かね,1,1
4,鑑,カン、かんが-みる,1,1
9,長,チョウ、なが-い,1,1
9,門,モン、かど,1,1
5,閉,ヘイ、と-じる、と-ざす、し-める、し-まる,1,4
8,開,カイ、ひら-く、ひら-ける、あ-く、あ-ける,1,4
2.5,閑,カン,1,0
9,間,カン、ケン、あいだ、ま,2,2
7,関,カン、せき、かか-わる,1,2
5,閣,カク,1,0
2.5,閥,バツ,1,0
3,閲,エツ,1,0
2,闇,やみ,0,1
4,闘,トウ、たたか-う,1,1
7,阜,[フ],1,0
7,阪,ハン,1,0
6,防,ボウ、ふせ-ぐ,1,1
3,阻,ソ、はば-む,1,1
2.5,附,フ,1,0
5,降,コウ、お-りる、お-ろす、ふ-る,1,3
6,限,ゲン、かぎ-る,1,1
5,陛,ヘイ,1,0
8,院,イン,1,0
4,陣,ジン,1,0
5,除,ジョ、[ジ]、のぞ-く,2,1
2.5,陥,カン、おちい-る、おとしい-れる,1,2
3,陪,バイ,1,0
4,陰,イン、かげ、かげ-る,1,2
3,陳,チン,1,0
3,陵,リョウ、みささぎ,1,1
3,陶,トウ,1,0
7,陸,リク,1,0
6,険,ケン、けわ-しい,1,1
8,陽,ヨウ,1,0
2.5,隅,グウ、すみ,1,1
3,隆,リュウ,1,0
7,隊,タイ,1,0
8,階,カイ,1,0
3,随,ズイ,1,0
3,隔,カク、へだ-てる、へだ-たる,1,2
2,隙,ゲキ、すき,1,1
6,際,サイ、きわ,1,1
5,障,ショウ、さわ-る,1,1
4,隠,イン、かく-す、かく-れる,1,2
4,隣,リン、とな-る、となり,1,2
4,隷,レイ,1,0
3,隻,セキ,1,0
4,雄,ユウ、お、おす,1,2
4,雅,ガ,1,0
8,集,シュウ、あつ-まる、あつ-める、つど-う,1,3
3,雇,コ、やと-う,1,1
4,雌,シ、め、めす,1,2
6,雑,ザツ、ゾウ,2,0
4,離,リ、はな-れる、はな-す,1,2
5,難,ナン、かた-い、むずか-しい,1,2
10,雨,ウ、あめ、[あま],1,2
9,雪,セツ、ゆき,1,1
2.5,雰,フン,1,0
9,雲,ウン、くも,1,1
3,零,レイ,1,0
4,雷,ライ、かみなり,1,1
9,電,デン,1,0
4,需,ジュ,1,0
4,震,シン、ふる-う、ふる-える,1,2
3,霊,レイ、リョウ、たま,2,1
2.5,霜,ソウ、しも,1,1
4,霧,ム、きり,1,1
4,露,ロ、[ロウ]、つゆ,2,1
10,青,セイ、[ショウ]、あお、あお-い,2,2
7,静,セイ、[ジョウ]、しず、しず-か、しず-まる、しず-める,2,4
6,非,ヒ,1,0
8,面,メン、おも、おもて、つら,1,3
5,革,カク、かわ,1,1
2.5,靴,カ、くつ,1,1
2,韓,カン,1,0
10,音,オン、イン、おと、ね,2,2
2.5,韻,イン,1,0
4,響,キョウ、ひび-く,1,1
5,頂,チョウ、いただ-く、いただき,1,2
2,頃,ころ,0,1
4,項,コウ,1,0
7,順,ジュン,1,0
2,須,ス,1,0
5,預,ヨ、あず-ける、あず-かる,1,2
2.5,頑,ガン,1,0
2.5,頒,ハン,1,0
2,頓,トン,1,0
6,領,リョウ,1,0
2,頬,ほお,1,0
9,頭,トウ、ズ、[ト]、あたま、かしら,3,2
2.5,頻,ヒン,1,0
4,頼,ライ、たの-む、たの-もしい、たよ-る,1,3
8,題,ダイ,1,0
6,額,ガク、ひたい,1,1
2,顎,ガク、あご,1,1
9,顔,ガン、かお,1,1
2.5,顕,ケン,1,0
7,願,ガン、ねが-う,1,1
7,類,ルイ、たぐ-い,1,1
3,顧,コ、かえり-みる,1,1
9,風,フウ、[フ]、かぜ、[かざ],2,2
7,飛,ヒ、と-ぶ、と-ばす,1,2
9,食,ショク、[ジキ]、く-う、く-らう、た-べる,2,3
2.5,飢,キ、う-える,1,1
7,飯,ハン、めし,1,1
8,飲,イン、の-む,1,1
6,飼,シ、か-う,1,1
3,飽,ホウ、あ-きる、あ-かす,1,2
4,飾,ショク、かざ-る,1,1
2,餅,ヘイ、もち,1,1
7,養,ヨウ、やしな-う,1,1
2,餌,ジ、えさ、え,1,2
3,餓,ガ,1,0
8,館,カン、やかた,1,1
9,首,シュ、くび,1,1
7,香,コウ、[キョウ]、か、かお-り、かお-る,2,3
9,馬,バ、うま、[ま],1,2
2.5,駄,ダ,1,0
8,駅,エキ,1,0
4,駆,ク、か-ける、か-る,1,2
3,駐,チュウ,1,0
2,駒,こま,0,1
3,騎,キ,1,0
4,騒,ソウ、さわ-ぐ,1,1
7,験,ケン、[ゲン],2,0
2.5,騰,トウ,1,0
4,驚,キョウ、おどろ-く、おどろ-かす,1,2
5,骨,コツ、ほね,1,1
2,骸,ガイ,1,0
3,髄,ズイ,1,0
9,高,コウ、たか-い、たか、たか-まる、たか-める,1,4
4,髪,ハツ、かみ,1,1
2,鬱,ウツ,1,0
4,鬼,キ、おに,1,1
3,魂,コン、たましい,1,1
3,魅,ミ,1,0
3,魔,マ,1,0
9,魚,ギョ、うお、さかな,1,2
4,鮮,セン、あざ-やか,1,1
3,鯨,ゲイ、くじら,1,1
9,鳥,チョウ、とり,1,1
9,鳴,メイ、な-く、な-る、な-らす,1,3
3,鶏,ケイ、にわとり,1,1
2,鶴,つる,1,0
7,鹿,しか、[か],0,2
2,麓,ロク、ふもと,1,1
4,麗,レイ、うるわ-しい,1,1
9,麦,バク、むぎ,1,1
2,麺,メン,1,0
2.5,麻,マ、あさ,1,1
9,黄,コウ、オウ、き、[こ],2,2
9,黒,コク、くろ、くろ-い,1,2
4,黙,モク、だま-る,1,1
4,鼓,コ、つづみ,1,1
8,鼻,ビ、はな,1,1
4,齢,レイ,1,0
