出費	出費 しゅっぴ expenses; disbursements
圧迫	圧迫 あっぱく pressure; coercion; oppression
円滑	円滑 えんかつ smooth; undisturbed; uninterrupted; harmonious
即する	即する そくする to conform to; to agree with; to be adapted to; to be based on
訂正	訂正 ていせい correction; revision; amendment
反感	反感 はんかん antipathy; revolt; animosity
時差	時差 じさ time difference
惑星	惑星 わくせい planet
大筋	大筋 おおすじ outline; summary
逃走	逃走 とうそう flight; desertion; escape
燃焼	燃焼 ねんしょう burning; combustion
面目	面目 めんぼく face; honour; honor; reputation; prestige; dignity; credit; appearance; look
策	策 さく plan; policy
動揺	動揺 どうよう shaking; trembling; pitching; rolling; oscillation; disturbance; unrest; agitation; excitement; commotion; turmoil; discomposure; feeling shaken
民宿	民宿 みんしゅく pension; guesthouse; bed and breakfast; private home providing lodging for travelers (travellers)
徴収	徴収 ちょうしゅう collection; levy
結核	結核 けっかく tuberculosis; tubercule
開拓	開拓 かいたく reclamation (e.g. wasteland); cultivation; development; opening up (e.g. new market); pioneering; pathfinding; trail-blazing
スペース	スペース スペース space (room, area, outer space)
斜面	斜面 しゃめん slope; slanting surface; bevel
知性	知性 ちせい intelligence
護衛	護衛 ごえい guard; convoy; escort
公然	公然 こうぜん open; public; official; overt
三味線	三味線 しゃみせん shamisen; samisen; three-stringed Japanese lute
壮大	壮大 そうだい magnificent; grand; majestic; splendid
見地	見地 けんち point of view
乗り換え	乗り換え のりかえ transfer (trains, buses, etc.); connection; connexion; switching (stock); chromosomal crossover; crossing over
同調	同調 どうちょう sympathy; agreement with; alignment; conformity; tuning
雑談	雑談 ざつだん chatting; idle talk
従って	従って したがって therefore; consequently; accordingly
厳密	厳密 げんみつ strict; close
小児科	小児科 しょうにか pediatrics
刺繍	刺繍 ししゅう embroidery
