遊	0006874400
運	0000366800
部	0006077700
都	0005115900
配	0005569500
酒	0003063900
重	0003174600
鉄	0005021700
銀	0001648300
開	0000805700
院	0000286800
陽	0006958500
階	0000811200
集	0003137700
面	0006706200
題	0004513900
飲	0000297300
館	0001127500
駅	0000419400
鼻	0005882200
不	0005996200
争	0004201300
井	0003819900
付	0006019700
令	0007237600
以	0000118300
仲	0004728900
伝	0005086500
位	0000126200
低	0004937300
佐	0002457100
例	0007248900
便	0006286100
信	0003599100
倉	0004231200
候	0002232900
借	0003005800
健	0001923800
側	0004347200
働	0005278100
億	0000555900
兆	0004779600
児	0002864100
共	0001478300
兵	0006199800
典	0005050100
冷	0007242800
初	0003275800
別	0006243300
利	0007071400
刷	0002594200
副	0006106400
功	0002138500
加	0000629300
努	0005135800
労	0007347700
勇	0006856600
包	0006336600
卒	0004367400
協	0001493300
単	0004590500
博	0005633600
印	0000276800
参	0002646400
司	0002712900
各	0000882100
周	0003102000
唱	0003393400
器	0001271700
固	0002033200
城	0003497600
埼	0002545000
塩	0000463300
変	0006260800
夫	0006015600
失	0002921900
奈	0005371300
好	0002163400
媛	0000458300
季	0001206800
孫	0004382300
完	0001026900
官	0001035900
害	0000853200
富	0006053200
察	0002599400
岐	0001193400
岡	0000549500
崎	0002560500
巣	0004241500
差	0002466300
希	0001194500
席	0003962300
帯	0004450100
底	0004948300
府	0006030400
康	0002260200
建	0001906400
径	0001759200
徒	0005107700
徳	0005307800
必	0005902800
念	0005486400
愛	0000020000
成	0003847600
戦	0004081700
折	0003987900
挙	0001433100
改	0000770400
敗	0005575600
散	0002659900
料	0007161500
旗	0001267400
昨	0002566100
景	0001792100
最	0002523800
望	0006440900
未	0006595900
末	0006556900
札	0002592800
材	0002547900
束	0004334100
松	0003365200
果	0000658000
栃	0005329800
栄	0000388400
案	0000105300
梅	0005591500
梨	0005391200
械	0000800100
極	0001577800
標	0005945100
機	0001280000
欠	0001854000
残	0002680800
氏	0002706500
民	0006629300
求	0001381400
沖	0004732300
治	0002871300
法	0006362000
泣	0001386600
